ATC5;l_atc5;age;sexe;nbc;REM;BSE;BOITES
A01AA01;SODIUM FLUORURE;0;1;2185;1.270,27;4.025,77;3107
A01AA01;SODIUM FLUORURE;0;2;2069;1.160,31;3.774,20;2908
A01AA01;SODIUM FLUORURE;20;1;394;631,78;1.848,38;1432
A01AA01;SODIUM FLUORURE;20;2;998;1.614,52;4.813,12;3726
A01AA01;SODIUM FLUORURE;60;1;462;1.400,30;3.879,68;3006
A01AA01;SODIUM FLUORURE;60;2;921;2.620,06;7.638,74;5920
A01AA01;SODIUM FLUORURE;99;9;13;38,54;51,38;14
A01AA02;SODIUM MONOFLUOROPHOSPHATE;0;1;406;1.893,70;4.968,15;467
A01AA02;SODIUM MONOFLUOROPHOSPHATE;0;2;481;1.839,08;5.490,10;513
A01AA02;SODIUM MONOFLUOROPHOSPHATE;20;1;4742;94.664,55;128.707,93;12024
A01AA02;SODIUM MONOFLUOROPHOSPHATE;20;2;4393;48.622,58;81.084,76;7593
A01AA02;SODIUM MONOFLUOROPHOSPHATE;60;1;10475;301.352,82;387.327,95;36308
A01AA02;SODIUM MONOFLUOROPHOSPHATE;60;2;4733;92.243,24;128.792,33;12087
A01AA51;SODIUM FLUORURE EN ASSOCIATION;0;1;37913;49.954,14;164.443,46;61512
A01AA51;SODIUM FLUORURE EN ASSOCIATION;0;2;36062;47.139,99;155.710,06;58225
A01AA51;SODIUM FLUORURE EN ASSOCIATION;20;1;859;1.132,98;3.086,64;1157
A01AA51;SODIUM FLUORURE EN ASSOCIATION;20;2;3632;5.458,55;14.128,76;5279
A01AA51;SODIUM FLUORURE EN ASSOCIATION;60;1;563;1.824,71;3.909,52;1459
A01AA51;SODIUM FLUORURE EN ASSOCIATION;60;2;2324;6.271,95;14.856,44;5558
A01AB03;CHLORHEXIDINE;0;1;273395;153.179,08;936.699,55;383642
A01AB03;CHLORHEXIDINE;0;2;300758;168.186,95;1.045.181,59;427766
A01AB03;CHLORHEXIDINE;20;1;1328047;935.956,22;5.246.384,60;2155899
A01AB03;CHLORHEXIDINE;20;2;1601774;1.112.870,35;6.287.520,02;2577783
A01AB03;CHLORHEXIDINE;60;1;780679;861.918,81;3.624.260,95;1491861
A01AB03;CHLORHEXIDINE;60;2;1000377;944.066,69;4.489.401,98;1846888
A01AB03;CHLORHEXIDINE;99;1;315;660,54;1.717,38;707
A01AB03;CHLORHEXIDINE;99;2;442;646,62;2.142,42;883
A01AB03;CHLORHEXIDINE;99;9;30;15,03;100,20;39
A01AB09;MICONAZOLE;0;1;466;4.928,84;7.522,51;596
A01AB09;MICONAZOLE;0;2;505;6.625,68;10.068,31;665
A01AB09;MICONAZOLE;20;1;2113;115.316,23;151.298,39;2789
A01AB09;MICONAZOLE;20;2;4264;217.811,42;287.642,38;5594
A01AB09;MICONAZOLE;60;1;3209;226.065,20;259.277,32;4616
A01AB09;MICONAZOLE;60;2;5075;302.438,08;368.673,03;6986
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);0;1;126410;106.633,13;667.325,74;415532
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);0;2;143434;123.014,21;778.291,12;483729
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);20;1;707236;765.728,15;4.294.616,27;2683701
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);20;2;842984;882.339,52;5.011.106,60;3120058
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);60;1;445300;747.065,48;3.057.619,96;1913329
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);60;2;561224;796.759,37;3.685.361,45;2305805
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);99;1;172;347,92;1.115,48;706
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);99;2;204;283,14;1.368,28;866
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);99;9;28;56,88;164,32;104
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES);0;1;200;372,88;1.121,15;307
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES);0;2;237;589,66;1.417,56;387
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES);20;1;6833;52.746,89;76.082,29;20892
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES);20;2;14627;76.385,44;126.930,99;34814
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES);60;1;20921;189.463,60;286.117,91;78581
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES);60;2;43455;268.665,77;523.322,92;143695
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES);99;2;11;81,99;115,84;32
A02AB01;ALUMINIUM HYDROXYDE;0;1;438;422,09;2.456,73;729
A02AB01;ALUMINIUM HYDROXYDE;0;2;810;782,98;4.722,26;1401
A02AB01;ALUMINIUM HYDROXYDE;20;1;6988;18.122,60;74.149,07;21977
A02AB01;ALUMINIUM HYDROXYDE;20;2;11813;28.894,99;121.438,02;35961
A02AB01;ALUMINIUM HYDROXYDE;60;1;7187;41.492,53;121.865,97;36144
A02AB01;ALUMINIUM HYDROXYDE;60;2;13028;57.972,73;200.962,54;59553
A02AB01;ALUMINIUM HYDROXYDE;99;2;13;139,18;202,20;60
A02AB03;ALUMINIUM PHOSPHATE;0;1;364;343,31;1.745,91;564
A02AB03;ALUMINIUM PHOSPHATE;0;2;560;453,74;2.557,34;826
A02AB03;ALUMINIUM PHOSPHATE;20;1;2996;6.265,17;23.974,77;7746
A02AB03;ALUMINIUM PHOSPHATE;20;2;5653;11.589,50;42.996,75;13882
A02AB03;ALUMINIUM PHOSPHATE;60;1;4639;17.971,62;50.522,05;16331
A02AB03;ALUMINIUM PHOSPHATE;60;2;7112;22.040,37;69.572,66;22466
A02AB03;ALUMINIUM PHOSPHATE;99;9;11;110,62;194,67;63
