ATC5,l_atc5,prev
A01AB03,CHLORHEXIDINE,0.0920383613025577
A01AB11,DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES),0.0504509471013471
A01AD11,DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES),0.00207620389853926
A02AD01,ASSOCIATIONS DE SELS,0.00737063312302799
A02AX,ANTIACIDES : AUTRES ASSOCIATIONS,0.00638185873009834
A02BC01,OMEPRAZOLE,0.112601266858416
A02BC02,PANTOPRAZOLE,0.0819121901178293
A02BC03,LANSOPRAZOLE,0.0346480062700569
A02BC04,RABEPRAZOLE,0.0132677936625975
A02BC05,ESOMEPRAZOLE,0.143199910042021
A02BD08,"BISMUTH POTASSIQUE, TETRACYCLINE ET METRONIDAZOLE",0.00229151279587404
A02BX13,ALGINIQUE ACIDE EN ASSOCIATION AVEC ANTIACIDES,0.0618532351858079
A03AA04,MEBEVERINE,0.00149068764425656
A03AA05,TRIMEBUTINE,0.0305284911200341
A03AX04,PINAVERIUM,0.00389536444366756
A03AX12,PHLOROGLUCINOL,0.109524151806227
A03AX58,ALVERINE EN ASSOCIATION,0.0256869349453044
A03ED,ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS,0.0119602365808018
A03FA01,METOCLOPRAMIDE,0.0177914525451123
A03FA03,DOMPERIDONE,0.0063232316097648
A04AA01,ONDANSETRON,0.00342711909153968
A04AD05,METOPIMAZINE,0.0466014721159162
A04AD12,APREPITANT,0.00330102797195018
A05AA02,URSODESOXYCHOLIQUE ACIDE,0.00253242972316699
A06AA51,HUILE DE PARAFFINE EN ASSOCIATION,0.00642487309041801
A06AB58,"PICOSULFATE DE SODIUM, ASSOCIATIONS",0.00820406307520734
A06AC01,ISPAGHUL (GRAINE DE PSYLLIUM),0.0113654225489632
A06AD10,SELS MINERAUX EN ASSOCIATION,0.00489620558059702
A06AD11,LACTULOSE,0.0162733830096509
A06AD12,LACTITOL,0.00148297862290174
