diag;n
  I10 - Essential (primary) hypertension;36082     (4.87)
  Z51 - Other medical care;15639     (2.11)
  Z50 - Care involving use of rehabilitation procedures;14313     (1.93)
  E11 - Non-insulin-dependent diabetes mellitus;14156     (1.91)
  E78 - Disorders of lipoprotein metabolism and other lipidaemias;13119     (1.77)
  E66 - Obesity;11803     (1.59)
  I48 - Atrial fibrillation and flutter;11241     (1.52)
  Z92 - Personal history of medical treatment;10207     (1.38)
  I25 - Chronic ischaemic heart disease;9342     (1.26)
  Z95 - Presence of cardiac and vascular implants and grafts;8328     (1.12)
  H25 - Senile cataract;7866     (1.06)
  I50 - Heart failure;7401     (1.00)
  K57 - Diverticular disease of intestine;7385     (1.00)
  B96 - Other specified bacterial agents as the cause of diseases classified to other chapters;7111     (0.96)
  K29 - Gastritis and duodenitis;6923     (0.94)
  Z48 - Other surgical follow-up care;6742     (0.91)
  R53 - Malaise and fatigue;6627     (0.90)
  E87 - Other disorders of fluid, electrolyte and acid-base balance;6623     (0.89)
  Z96 - Presence of other functional implants;6308     (0.85)
  Z71 - Persons encountering health services for other counselling and medical advice, not elsewhere classified;6290     (0.85)
  N18 - Chronic kidney disease;6222     (0.84)
  R26 - Abnormalities of gait and mobility;6217     (0.84)
  F17 - Mental and behavioural disorders due to use of tobacco;5959     (0.80)
  D12 - Benign neoplasm of colon, rectum, anus and anal canal;5691     (0.77)
  E44 - Protein-energy malnutrition of moderate and mild degree;5653     (0.76)
  F32 - Depressive episode;5619     (0.76)
  Z74 - Problems related to care-provider dependency;5322     (0.72)
  R10 - Abdominal and pelvic pain;5238     (0.71)
  J44 - Other chronic obstructive pulmonary disease;5215     (0.70)
  J96 - Respiratory failure, not elsewhere classified;5185     (0.70)
  G47 - Sleep disorders;5169     (0.70)
  K59 - Other functional intestinal disorders;5138     (0.69)
  N39 - Other disorders of urinary system;5127     (0.69)
  F10 - Mental and behavioural disorders due to use of alcohol;4927     (0.67)
  F41 - Other anxiety disorders;4900     (0.66)
  Z09 - Follow-up examination after treatment for conditions other than malignant neoplasms;4768     (0.64)
  Z86 - Personal history of certain other diseases;4670     (0.63)
  Z45 - Adjustment and management of implanted device;4659     (0.63)
