OR,matching_ratio,n_cases,nDemo,nDrug,nHosp,nOth,nProt,select_percent,nFalse_signals,OR_obs,Beta_signal
0.8,2,280000,5,540,41,93,1,34,3,0.8,-0.127
0.8,2,280000,5,540,41,93,1,77,1,0.74,-0.405
0.8,2,280000,5,540,41,93,1,13,2,0.83,-0.041
0.8,2,280000,5,540,41,93,1,84,0,0.71,-0.483
0.8,2,280000,5,540,41,93,1,72,2,0.72,-0.378
0.8,2,280000,5,540,41,93,1,10.5,1,0.85,-0.031
0.8,2,280000,5,540,41,93,1,28,1,0.8,-0.103
0.8,2,280000,5,540,41,93,1,34.5,4,0.81,-0.125
0.8,2,280000,5,540,41,93,1,15,0,0.84,-0.047
0.8,2,280000,5,540,41,93,1,30,1,0.79,-0.111
0.8,2,280000,5,540,41,93,1,97.5,0,0.65,-0.667
0.8,2,280000,5,540,41,93,1,15,2,0.85,-0.044
0.8,2,280000,5,540,41,93,1,33,2,0.79,-0.129
0.8,2,280000,5,540,41,93,1,59,1,0.74,-0.284
0.8,2,280000,5,540,41,93,1,6,3,0.9,-0.013
0.8,2,280000,5,540,41,93,1,66,0,0.75,-0.308
0.8,2,280000,5,540,41,93,1,74,2,0.72,-0.378
0.8,2,280000,5,540,41,93,1,81,0,0.73,-0.421
0.8,2,280000,5,540,41,93,1,27.5,2,0.81,-0.099
0.8,2,280000,5,540,41,93,1,55,1,0.75,-0.268
0.8,2,280000,5,540,41,93,1,5.5,2,0.88,-0.008
0.8,2,280000,5,540,41,93,1,89,0,0.69,-0.547
0.8,2,280000,5,540,41,93,1,41.5,0,0.8,-0.175
0.8,2,280000,5,540,41,93,1,16.5,2,0.84,-0.046
0.8,2,280000,5,540,41,93,1,45.5,1,0.78,-0.192
0.8,2,280000,5,540,41,93,1,10.5,1,0.86,-0.024
0.8,2,280000,5,540,41,93,1,61.5,2,0.76,-0.282
0.8,2,280000,5,540,41,93,1,67,1,0.75,-0.335
0.8,2,280000,5,540,41,93,1,3.5,1,0.9,-0.005
0.8,2,280000,5,540,41,93,1,11.5,1,0.86,-0.027
0.8,2,280000,5,540,41,93,1,65.5,0,0.72,-0.344
0.8,2,280000,5,540,41,93,1,95.5,0,0.67,-0.614
0.8,2,280000,5,540,41,93,1,63,1,0.75,-0.306
0.8,2,280000,5,540,41,93,1,14,2,0.83,-0.046
0.8,2,280000,5,540,41,93,1,51,0,0.78,-0.215
0.8,2,280000,5,540,41,93,1,22,0,0.8,-0.076
0.8,2,280000,5,540,41,93,1,45.5,0,0.78,-0.192
0.8,2,280000,5,540,41,93,1,12,0,0.84,-0.032
0.8,2,280000,5,540,41,93,1,31.5,1,0.8,-0.118
0.8,2,280000,5,540,41,93,1,16.5,0,0.83,-0.053
0.8,2,280000,5,540,41,93,1,3,1,0.93,-0.004
0.8,2,280000,5,540,41,93,1,60.5,4,0.76,-0.287
0.8,2,280000,5,540,41,93,1,83,1,0.7,-0.477
0.8,2,280000,5,540,41,93,1,49,0,0.77,-0.212
0.8,2,280000,5,540,41,93,1,30,0,0.8,-0.116
0.8,2,280000,5,540,41,93,1,72.5,0,0.74,-0.375
0.8,2,280000,5,540,41,93,1,66,2,0.75,-0.313
0.8,2,280000,5,540,41,93,1,36,1,0.77,-0.146
0.8,2,280000,5,540,41,93,1,10,0,0.84,-0.026
0.8,2,280000,5,540,41,93,1,62,1,0.75,-0.306
0.8,2,280000,5,540,41,93,1,5,2,0.88,-0.01
0.8,2,280000,5,540,41,93,1,36,0,0.78,-0.142
0.8,2,280000,5,540,41,93,1,16,5,0.85,-0.05
0.8,2,280000,5,540,41,93,1,35.5,2,0.79,-0.153
0.8,2,280000,5,540,41,93,1,18.5,1,0.82,-0.059
0.8,2,280000,5,540,41,93,1,31.5,0,0.81,-0.118
0.8,2,280000,5,540,41,93,1,68,0,0.75,-0.349
0.8,2,280000,5,540,41,93,1,21,1,0.81,-0.073
0.8,2,280000,5,540,41,93,1,29.5,0,0.79,-0.112
0.8,2,280000,5,540,41,93,1,30,2,0.81,-0.104
0.8,2,280000,5,540,41,93,1,39,0,0.8,-0.145
0.8,2,280000,5,540,41,93,1,26,1,0.8,-0.092
0.8,2,280000,5,540,41,93,1,23,2,0.82,-0.075
0.8,2,280000,5,540,41,93,1,0.5,0,0.93,-0.001
0.8,2,280000,5,540,41,93,1,27.5,0,0.82,-0.095
0.8,2,280000,5,540,41,93,1,70.5,0,0.73,-0.389
0.8,2,280000,5,540,41,93,1,22,0,0.81,-0.07
0.8,2,280000,5,540,41,93,1,0.5,1,0.96,-0.003
0.8,2,280000,5,540,41,93,1,49.5,0,0.78,-0.211
0.8,2,280000,5,540,41,93,1,50.5,1,0.78,-0.212
0.8,2,280000,5,540,41,93,1,2,0,0.92,-0.003
0.8,2,280000,5,540,41,93,1,95,4,0.69,-0.578
0.8,2,280000,5,540,41,93,1,24.5,0,0.83,-0.079
0.8,2,280000,5,540,41,93,1,9.5,2,0.86,-0.021
0.8,2,280000,5,540,41,93,1,32,1,0.77,-0.133
0.8,2,280000,5,540,41,93,1,67.5,0,0.73,-0.342
0.8,2,280000,5,540,41,93,1,12,2,0.84,-0.03
0.8,2,280000,5,540,41,93,1,30.5,0,0.83,-0.103
0.8,2,280000,5,540,41,93,1,44.5,1,0.78,-0.182
0.8,2,280000,5,540,41,93,1,25.5,0,0.83,-0.082
0.8,2,280000,5,540,41,93,1,62,3,0.75,-0.295
0.8,2,280000,5,540,41,93,1,29,0,0.8,-0.113
0.8,2,280000,5,540,41,93,1,22,0,0.84,-0.061
0.8,2,280000,5,540,41,93,1,11,1,0.87,-0.028
0.8,2,280000,5,540,41,93,1,99,3,0.65,-0.652
0.8,2,280000,5,540,41,93,1,2,1,0.91,-0.003
0.8,2,280000,5,540,41,93,1,11,0,0.86,-0.025
0.8,2,280000,5,540,41,93,1,31,0,0.79,-0.113
0.8,2,280000,5,540,41,93,1,46,0,0.78,-0.183
0.8,2,280000,5,540,41,93,1,25,0,0.83,-0.084
0.8,2,280000,5,540,41,93,1,23.5,2,0.78,-0.08
0.8,2,280000,5,540,41,93,1,59.5,1,0.75,-0.269
0.8,2,280000,5,540,41,93,1,14,0,0.85,-0.04
0.8,2,280000,5,540,41,93,1,58,1,0.75,-0.27
0.8,2,280000,5,540,41,93,1,87,0,0.71,-0.5
0.8,2,280000,5,540,41,93,1,59,1,0.75,-0.294
0.8,2,280000,5,540,41,93,1,25,1,0.82,-0.083
0.8,2,280000,5,540,41,93,1,46.5,1,0.79,-0.195
0.8,2,280000,5,540,41,93,1,73.5,1,0.73,-0.368
0.8,2,280000,5,540,41,93,1,84.5,1,0.71,-0.487
