OR,matching_ratio,n_cases,nDemo,nDrug,nHosp,nOth,nProt,select_percent,nFalse_signals,OR_obs
0.8,2,560000,5,270,21,47,1,95,2,0.78
0.8,2,560000,5,270,21,47,1,91.5,6,0.8
0.8,2,560000,5,270,21,47,1,100,4,0.75
0.8,2,560000,5,270,21,47,1,65.5,4,0.85
0.8,2,560000,5,270,21,47,1,54,3,0.86
0.8,2,560000,5,270,21,47,1,96.5,2,0.78
0.8,2,560000,5,270,21,47,1,92,1,0.79
0.8,2,560000,5,270,21,47,1,96,4,0.77
0.8,2,560000,5,270,21,47,1,55.5,2,0.85
0.8,2,560000,5,270,21,47,1,96.5,6,0.78
0.8,2,560000,5,270,21,47,1,56.5,3,0.85
0.8,2,560000,5,270,21,47,1,87.5,3,0.81
0.8,2,560000,5,270,21,47,1,99.5,6,0.76
0.8,2,560000,5,270,21,47,1,72,4,0.83
0.8,2,560000,5,270,21,47,1,19,0,0.9
0.8,2,560000,5,270,21,47,1,99,3,0.77
0.8,2,560000,5,270,21,47,1,100,1,0.7
0.8,2,560000,5,270,21,47,1,54,5,0.86
0.8,2,560000,5,270,21,47,1,95,1,0.78
0.8,2,560000,5,270,21,47,1,87,2,0.81
0.8,2,560000,5,270,21,47,1,93,5,0.8
0.8,2,560000,5,270,21,47,1,92.5,7,0.79
0.8,2,560000,5,270,21,47,1,83.5,3,0.81
0.8,2,560000,5,270,21,47,1,95,3,0.78
0.8,2,560000,5,270,21,47,1,56.5,4,0.85
0.8,2,560000,5,270,21,47,1,96,7,0.8
0.8,2,560000,5,270,21,47,1,76.5,8,0.83
0.8,2,560000,5,270,21,47,1,99.5,5,0.76
0.8,2,560000,5,270,21,47,1,84,2,0.82
0.8,2,560000,5,270,21,47,1,21.5,5,0.91
0.8,2,560000,5,270,21,47,1,99,3,0.76
0.8,2,560000,5,270,21,47,1,95,3,0.78
0.8,2,560000,5,270,21,47,1,97.5,1,0.77
0.8,2,560000,5,270,21,47,1,77.5,5,0.83
0.8,2,560000,5,270,21,47,1,89.5,3,0.81
0.8,2,560000,5,270,21,47,1,82.5,3,0.82
0.8,2,560000,5,270,21,47,1,69.5,5,0.84
0.8,2,560000,5,270,21,47,1,77.5,8,0.84
0.8,2,560000,5,270,21,47,1,23,6,0.9
0.8,2,560000,5,270,21,47,1,68,5,0.85
0.8,2,560000,5,270,21,47,1,98.5,4,0.77
0.8,2,560000,5,270,21,47,1,97,8,0.77
0.8,2,560000,5,270,21,47,1,100,3,0.72
0.8,2,560000,5,270,21,47,1,95,3,0.78
0.8,2,560000,5,270,21,47,1,90,6,0.81
0.8,2,560000,5,270,21,47,1,56,5,0.84
0.8,2,560000,5,270,21,47,1,77.5,5,0.83
0.8,2,560000,5,270,21,47,1,100,2,0.74
0.8,2,560000,5,270,21,47,1,98.5,3,0.76
0.8,2,560000,5,270,21,47,1,74.5,3,0.82
0.8,2,560000,5,270,21,47,1,93.5,3,0.8
0.8,2,560000,5,270,21,47,1,100,6,0.76
0.8,2,560000,5,270,21,47,1,89.5,4,0.81
0.8,2,560000,5,270,21,47,1,100,3,0.74
0.8,2,560000,5,270,21,47,1,89.5,2,0.81
0.8,2,560000,5,270,21,47,1,99.5,5,0.78
0.8,2,560000,5,270,21,47,1,96.5,5,0.79
0.8,2,560000,5,270,21,47,1,97,1,0.78
0.8,2,560000,5,270,21,47,1,94.5,5,0.8
0.8,2,560000,5,270,21,47,1,97.5,2,0.77
0.8,2,560000,5,270,21,47,1,92.5,2,0.79
0.8,2,560000,5,270,21,47,1,99.5,2,0.76
0.8,2,560000,5,270,21,47,1,54.5,2,0.86
0.8,2,560000,5,270,21,47,1,86.5,0,0.8
0.8,2,560000,5,270,21,47,1,84,5,0.82
0.8,2,560000,5,270,21,47,1,96.5,2,0.76
0.8,2,560000,5,270,21,47,1,99.5,4,0.7
0.8,2,560000,5,270,21,47,1,100,1,0.75
0.8,2,560000,5,270,21,47,1,95,0,0.78
0.8,2,560000,5,270,21,47,1,64.5,6,0.84
0.8,2,560000,5,270,21,47,1,95.5,2,0.79
0.8,2,560000,5,270,21,47,1,80.5,6,0.82
0.8,2,560000,5,270,21,47,1,71.5,2,0.83
0.8,2,560000,5,270,21,47,1,98,6,0.77
0.8,2,560000,5,270,21,47,1,86.5,4,0.8
0.8,2,560000,5,270,21,47,1,73.5,4,0.83
0.8,2,560000,5,270,21,47,1,19,0,0.9
0.8,2,560000,5,270,21,47,1,97,8,0.77
0.8,2,560000,5,270,21,47,1,100,1,0.75
0.8,2,560000,5,270,21,47,1,73.5,4,0.83
0.8,2,560000,5,270,21,47,1,99.5,2,0.76
0.8,2,560000,5,270,21,47,1,100,3,0.72
0.8,2,560000,5,270,21,47,1,56.5,4,0.85
0.8,2,560000,5,270,21,47,1,54.5,2,0.86
0.8,2,560000,5,270,21,47,1,99.5,4,0.7
0.8,2,560000,5,270,21,47,1,100,3,0.74
0.8,2,560000,5,270,21,47,1,95,2,0.78
0.8,2,560000,5,270,21,47,1,96,7,0.8
0.8,2,560000,5,270,21,47,1,77.5,5,0.83
0.8,2,560000,5,270,21,47,1,86.5,4,0.8
0.8,2,560000,5,270,21,47,1,96.5,2,0.76
0.8,2,560000,5,270,21,47,1,92.5,7,0.79
0.8,2,560000,5,270,21,47,1,82.5,3,0.82
0.8,2,560000,5,270,21,47,1,64.5,6,0.84
0.8,2,560000,5,270,21,47,1,99,3,0.76
0.8,2,560000,5,270,21,47,1,77.5,5,0.83
0.8,2,560000,5,270,21,47,1,100,6,0.76
0.8,2,560000,5,270,21,47,1,89.5,4,0.81
0.8,2,560000,5,270,21,47,1,100,2,0.74
0.8,2,560000,5,270,21,47,1,97,1,0.78
