OR,matching_ratio,n_cases,nDemo,nDrug,nHosp,nOth,nProt,select_percent,nFalse_signals,OR_obs
0.9,3,560000,5,540,41,93,1,39,2,0.87
0.9,3,560000,5,540,41,93,1,86.5,4,0.8
0.9,3,560000,5,540,41,93,1,25,1,0.88
0.9,3,560000,5,540,41,93,1,18,1,0.9
0.9,3,560000,5,540,41,93,1,4,2,0.93
0.9,3,560000,5,540,41,93,1,17.5,1,0.89
0.9,3,560000,5,540,41,93,1,29,4,0.87
0.9,3,560000,5,540,41,93,1,4,5,0.92
0.9,3,560000,5,540,41,93,1,75,4,0.82
0.9,3,560000,5,540,41,93,1,20.5,2,0.89
0.9,3,560000,5,540,41,93,1,4.5,5,0.95
0.9,3,560000,5,540,41,93,1,49.5,2,0.86
0.9,3,560000,5,540,41,93,1,15.5,1,0.89
0.9,3,560000,5,540,41,93,1,4,3,0.92
0.9,3,560000,5,540,41,93,1,22.5,2,0.89
0.9,3,560000,5,540,41,93,1,18.5,3,0.89
0.9,3,560000,5,540,41,93,1,4,4,0.94
0.9,3,560000,5,540,41,93,1,3,4,0.94
0.9,3,560000,5,540,41,93,1,1,2,0.96
0.9,3,560000,5,540,41,93,1,2,1,0.96
0.9,3,560000,5,540,41,93,1,22.5,0,0.88
0.9,3,560000,5,540,41,93,1,6.5,0,0.93
0.9,3,560000,5,540,41,93,1,30,1,0.88
0.9,3,560000,5,540,41,93,1,85,7,0.81
0.9,3,560000,5,540,41,93,1,74,4,0.84
0.9,3,560000,5,540,41,93,1,1.5,1,0.96
0.9,3,560000,5,540,41,93,1,22.5,0,0.88
0.9,3,560000,5,540,41,93,1,42.5,2,0.86
0.9,3,560000,5,540,41,93,1,29,4,0.88
0.9,3,560000,5,540,41,93,1,98.5,0,0.76
0.9,3,560000,5,540,41,93,1,0.5,2,0.96
0.9,3,560000,5,540,41,93,1,3,1,0.95
0.9,3,560000,5,540,41,93,1,4,3,0.94
0.9,3,560000,5,540,41,93,1,7,3,0.95
0.9,3,560000,5,540,41,93,1,56.5,1,0.84
0.9,3,560000,5,540,41,93,1,48.5,0,0.85
0.9,3,560000,5,540,41,93,1,8,1,0.92
0.9,3,560000,5,540,41,93,1,17,0,0.9
0.9,3,560000,5,540,41,93,1,24,1,0.89
0.9,3,560000,5,540,41,93,1,17.5,1,0.89
0.9,3,560000,5,540,41,93,1,48.5,2,0.86
0.9,3,560000,5,540,41,93,1,7.5,1,0.95
0.9,3,560000,5,540,41,93,1,1.5,2,0.95
0.9,3,560000,5,540,41,93,1,89.5,3,0.8
0.9,3,560000,5,540,41,93,1,1,2,0.96
0.9,3,560000,5,540,41,93,1,17.5,3,0.88
0.9,3,560000,5,540,41,93,1,6,2,0.92
0.9,3,560000,5,540,41,93,1,2,3,0.94
0.9,3,560000,5,540,41,93,1,2,2,0.93
0.9,3,560000,5,540,41,93,1,66,4,0.83
0.9,3,560000,5,540,41,93,1,36,1,0.87
0.9,3,560000,5,540,41,93,1,6.5,4,0.92
0.9,3,560000,5,540,41,93,1,25.5,2,0.88
0.9,3,560000,5,540,41,93,1,7,0,0.93
0.9,3,560000,5,540,41,93,1,1,2,0.97
0.9,3,560000,5,540,41,93,1,1.5,1,0.95
0.9,3,560000,5,540,41,93,1,7,5,0.93
0.9,3,560000,5,540,41,93,1,9.5,0,0.92
0.9,3,560000,5,540,41,93,1,11.5,0,0.91
0.9,3,560000,5,540,41,93,1,0,3,0.98
0.9,3,560000,5,540,41,93,1,5,0,0.92
0.9,3,560000,5,540,41,93,1,30,1,0.88
0.9,3,560000,5,540,41,93,1,9,2,0.91
0.9,3,560000,5,540,41,93,1,25,1,0.88
0.9,3,560000,5,540,41,93,1,1.5,2,0.98
0.9,3,560000,5,540,41,93,1,5,5,0.93
0.9,3,560000,5,540,41,93,1,92,3,0.8
0.9,3,560000,5,540,41,93,1,29.5,2,0.88
0.9,3,560000,5,540,41,93,1,54.5,2,0.85
0.9,3,560000,5,540,41,93,1,23.5,3,0.89
0.9,3,560000,5,540,41,93,1,13,2,0.91
0.9,3,560000,5,540,41,93,1,39.5,1,0.87
0.9,3,560000,5,540,41,93,1,4.5,3,0.94
0.9,3,560000,5,540,41,93,1,0.5,4,0.97
0.9,3,560000,5,540,41,93,1,1,0,0.97
0.9,3,560000,5,540,41,93,1,7,3,0.95
0.9,3,560000,5,540,41,93,1,25,1,0.88
0.9,3,560000,5,540,41,93,1,85,7,0.81
0.9,3,560000,5,540,41,93,1,2,2,0.93
0.9,3,560000,5,540,41,93,1,25,1,0.88
0.9,3,560000,5,540,41,93,1,1.5,2,0.98
0.9,3,560000,5,540,41,93,1,49.5,2,0.86
0.9,3,560000,5,540,41,93,1,1.5,1,0.95
0.9,3,560000,5,540,41,93,1,1,2,0.96
0.9,3,560000,5,540,41,93,1,15.5,1,0.89
0.9,3,560000,5,540,41,93,1,86.5,4,0.8
0.9,3,560000,5,540,41,93,1,5,0,0.92
0.9,3,560000,5,540,41,93,1,18.5,3,0.89
0.9,3,560000,5,540,41,93,1,7,3,0.95
0.9,3,560000,5,540,41,93,1,5,5,0.93
0.9,3,560000,5,540,41,93,1,6.5,0,0.93
0.9,3,560000,5,540,41,93,1,9.5,0,0.92
0.9,3,560000,5,540,41,93,1,6.5,4,0.92
0.9,3,560000,5,540,41,93,1,4.5,3,0.94
0.9,3,560000,5,540,41,93,1,7,5,0.93
0.9,3,560000,5,540,41,93,1,6.5,4,0.92
0.9,3,560000,5,540,41,93,1,1,0,0.97
0.9,3,560000,5,540,41,93,1,17.5,3,0.88
0.9,3,560000,5,540,41,93,1,54.5,2,0.85
0.9,3,560000,5,540,41,93,1,1.5,2,0.98
