OR,matching_ratio,n_cases,nDemo,nDrug,nHosp,nOth,nProt,select_percent,nFalse_signals,OR_obs
0.8,3,560000,5,540,41,93,1,5,0,0.79
0.8,3,560000,5,540,41,93,1,0,0,0.86
0.8,3,560000,5,540,41,93,1,1.5,0,0.79
0.8,3,560000,5,540,41,93,1,2,0,0.79
0.8,3,560000,5,540,41,93,1,4,0,0.78
0.8,3,560000,5,540,41,93,1,2,0,0.78
0.8,3,560000,5,540,41,93,1,4.5,0,0.74
0.8,3,560000,5,540,41,93,1,5,0,0.77
0.8,3,560000,5,540,41,93,1,12,0,0.66
0.8,3,560000,5,540,41,93,1,4,0,0.76
0.8,3,560000,5,540,41,93,1,0,0,0.89
0.8,3,560000,5,540,41,93,1,2,0,0.8
0.8,3,560000,5,540,41,93,1,4,0,0.77
0.8,3,560000,5,540,41,93,1,1.5,0,0.78
0.8,3,560000,5,540,41,93,1,1,0,0.81
0.8,3,560000,5,540,41,93,1,2.5,0,0.77
0.8,3,560000,5,540,41,93,1,0.5,0,0.82
0.8,3,560000,5,540,41,93,1,0,0,0.82
0.8,3,560000,5,540,41,93,1,4,0,0.79
0.8,3,560000,5,540,41,93,1,4.5,0,0.76
0.8,3,560000,5,540,41,93,1,0.5,0,0.82
0.8,3,560000,5,540,41,93,1,0.5,0,0.9
0.8,3,560000,5,540,41,93,1,3.5,0,0.76
0.8,3,560000,5,540,41,93,1,1,0,0.81
0.8,3,560000,5,540,41,93,1,0.5,0,0.79
0.8,3,560000,5,540,41,93,1,3,0,0.76
0.8,3,560000,5,540,41,93,1,0.5,0,0.82
0.8,3,560000,5,540,41,93,1,0,0,0.83
0.8,3,560000,5,540,41,93,1,4,0,0.77
0.8,3,560000,5,540,41,93,1,12,0,0.72
0.8,3,560000,5,540,41,93,1,4.5,0,0.75
0.8,3,560000,5,540,41,93,1,1,0,0.83
0.8,3,560000,5,540,41,93,1,1.5,0,0.79
0.8,3,560000,5,540,41,93,1,0,0,0.86
0.8,3,560000,5,540,41,93,1,0,0,0.87
0.8,3,560000,5,540,41,93,1,1.5,0,0.83
0.8,3,560000,5,540,41,93,1,5,0,0.76
0.8,3,560000,5,540,41,93,1,2,0,0.8
0.8,3,560000,5,540,41,93,1,2,0,0.78
0.8,3,560000,5,540,41,93,1,1.5,0,0.79
0.8,3,560000,5,540,41,93,1,0.5,0,0.9
0.8,3,560000,5,540,41,93,1,5,0,0.79
0.8,3,560000,5,540,41,93,1,5,0,0.76
0.8,3,560000,5,540,41,93,1,4,0,0.79
0.8,3,560000,5,540,41,93,1,5,0,0.76
0.8,3,560000,5,540,41,93,1,0,0,0.82
0.8,3,560000,5,540,41,93,1,2.5,0,0.77
0.8,3,560000,5,540,41,93,1,3.5,0,0.76
0.8,3,560000,5,540,41,93,1,1,0,0.81
0.8,3,560000,5,540,41,93,1,1.5,0,0.79
